Kab/Kota,IPM_2024,RLS_2024,P0_2024,D1_SPBE,D2_SPBE,D3_SPBE,D4_SPBE,Cluster
Puncak,45.6,2.39,37.49,1,1,1,2.35,1
Puncak Jaya,51.78,4.42,35.94,2.8,1.2,1,2.44,1
Purbalingga,70.69,7.36,14.18,4.4,3.7,2.73,4.35,2
Purwakarta,72.65,8.14,8.41,3.9,3.5,2.91,4.57,2
Purworejo,75.11,8.65,10.87,4.1,3.2,2.55,3.82,2
Raja Ampat,65.86,8.4,15.83,1,1,1,1.73,1
Rejang Lebong,72.92,8.81,14.65,3.6,3,2.09,3.69,2
Rembang,72.53,7.73,14.02,4.4,3.7,2.64,4.52,2
Rokan Hilir,71.2,8.53,7.01,4.1,2.6,2.36,4.25,2
Rokan Hulu,71.82,8.94,9.62,4.1,2.8,2.27,4.07,2
Rote Ndao,64.59,7.83,25.78,5,2.6,1.91,3.82,0
Sabang,78.32,11.22,14.58,3.5,2.1,1,4.12,0
Sabu Raijua,59.58,6.99,28.13,4.6,1.5,1.09,1.51,1
Salatiga,85.72,11.48,4.57,3.3,3.6,2.27,4.25,2
Samarinda,82.81,10.95,4.3,4,3.9,2,4.45,2
Sambas,69.31,6.76,6.53,3.2,1.9,1.18,4.01,0
Samosir,72.88,9.61,11.63,2.6,2.3,1.18,3.51,0
Sampang,64.65,5.08,20.83,3.6,3,2.09,4.64,2
Sanggau,68.43,7.47,4.67,3.9,3,2.82,3.45,2
Sarmi,66.72,9.61,14.05,1,1.1,1,2.1,0
Sarolangun,72.01,8.35,8.36,3.7,2.8,1.45,3.68,0
Sawah Lunto,75.13,10.53,2.33,2.9,3,2.27,4.2,2
Sekadau,67.25,7.23,5.66,3.8,2.8,1,3.89,0
Seluma,68.97,8.14,17.23,2.4,1.6,1,3.05,0
Semarang,75.67,8.16,6.96,3.3,3,2.18,3.88,2
Kota Semarang,85.25,11.05,4.03,5,3.6,2.27,4.45,2
Seram Bagian Barat,68.39,9.59,22.31,1,1.8,1,2.54,0
Seram Bagian Timur,66.24,9,21.03,2,1.2,1,3.71,0
Serang,69.03,7.88,4.51,5,3.4,2.09,4.13,2
Kota Serang,73.99,8.93,5.65,1.8,1.9,1,3.82,0
Serdang Bedagai,72.47,9.12,6.97,2.9,2.1,1.45,3.31,0
Seruyan,69.05,8.01,7.08,2.8,1.9,1,3.3,0
Siak,75.45,9.92,5.08,4.9,2.6,1.73,4.32,2
Siau Tagulandang Biaro,70.31,9.43,8.32,2.4,1.6,1,3.49,0
Sibolga,75.66,10.45,11.39,2.6,1.6,1,3.31,0
Sidenreng Rappang,73.21,8.21,5.02,5,2,1.27,3.68,0
Sidoarjo,82.31,10.91,4.53,4.8,3,2.73,4.7,2
Sigi,70.51,9.04,12.06,2.5,1.6,1,3.07,0
Sijunjung,70.23,8.62,5.78,2.7,2.2,2.36,3.76,0
Sikka,67.41,6.99,11.89,2.5,1,1,2.81,0
Simalungun,74.97,9.73,7.72,2.3,1.6,1,3.31,0
Simeulue,69.01,9.89,17.69,2.4237,1.3599,1.2091,2.9938,0
Singkawang,73.87,8.22,4.53,3.2,3.3,1.18,4.2,2
Sinjai,69.52,7.82,7.82,4,2.5,1,3.74,0
Sintang,69.42,7.65,8.03,2.8,1.5,1.18,3,0
Situbondo,69.75,6.93,11.51,4.7,4.1,2.64,4.69,2
Sleman,85.61,11.33,7.46,4.2,4.2,3.27,4.75,2
Solok,71.02,7.91,7.31,3.6,3.1,2.55,4.01,2
Kota Solok,80,11.37,3.07,4.1,3.9,1.18,4.51,2
Solok Selatan,71.5,8.85,6.56,4,2.4,2.55,3.82,2
Soppeng,71.39,8.45,6.9,3,2.7,1.64,3.62,0
Sorong,68.29,8.74,25.71,3.1,1.3,1,3.5,0
Kota Sorong,79.93,11.57,13.67,1,1.2,1,2.61,0
Sorong Selatan,64.5,7.76,17.83,2.8158,2.0172,1.5524,3.4681,0
Sragen,75.53,7.88,12.41,5,3.6,3.27,4.93,2
Subang,71.36,7.46,9.49,3.3,3.2,2,4.01,2
Subulussalam,68.04,8.43,16.38,3.1,1.4,1,3.43,0
Sukabumi,68.97,7.34,6.87,4.7,3,2.73,4.7,2
Kota Sukabumi,76.85,10.38,7.2,4.2,3.8,3.18,3.88,2
Sukamara,69.85,8.18,4.14,2.3,2.1,1,3.88,0
Sukoharjo,79.3,10.01,7.47,4.9,4.3,3.45,4.76,2
Sumba Barat,66.06,7.17,26.52,4.4,2.3,1.09,3.95,0
Sumba Barat Daya,64.27,6.39,27.2,1.1,1.1,1,3.19,1
Sumba Tengah,64.31,7.23,30.84,3,1.5,1.09,2.73,1
Sumba Timur,67.68,7.77,27.04,3,1.5,1,3.58,0
Sumbawa,70.55,8.59,12.87,3.7,2.5,1,3.57,0
Sumbawa Barat,73.86,8.99,12.23,4.1,2.7,2.55,4.01,2
Sumedang,73.73,8.74,9.1,5,4.3,3.91,4.69,2
Sumenep,69.26,6.1,17.78,4.2,3.1,2.82,4.26,2
Sungai Penuh,77.4,10.48,2.92,3.9,1.8,1.82,4.14,2
Supiori,65.15,9.21,37.72,1,1,1,2.04,1
Surabaya,84.14,10.89,3.96,5,4.6,2.82,5,2
Surakarta,84.4,11.25,8.31,5,4.2,2.82,4.7,2
Tabalong,74.41,9.15,5.64,3.2,3.4,3,4.26,2
Tabanan,78.42,9.57,4.4,3.7,3.2,2.27,4.14,2
Takalar,69.47,7.73,7.75,2.5,2.2,1,3.87,0
Tambrauw,56.32,5.89,29.88,2.4093,1.2937,1.0386,2.4008,1
Tana Tidung,70.08,9.24,4.47,2.3,2.5,1.09,3.81,0
Tana Toraja,71.67,8.77,10.79,2.9,2,1,3.75,0
Tanah Bumbu,72.95,8.43,3.41,3.2,2.8,2.73,3.82,2
Tanah Datar,74.9,9.29,4.28,2.5,1.9,1.27,3.95,0
Tanah Laut,71.43,7.94,3.74,3.1,3.1,1.09,3.87,0
Tangerang,74.09,9.06,6.55,3.5,3.3,2.82,4.75,2
Kota Tangerang,80.02,11.14,5.43,3.8,4.4,2.27,4.13,2
Tangerang Selatan,82.89,11.86,2.36,3.9,3.8,2.45,3.56,2
Tanggamus,68.52,7.38,10.28,4.1,3.8,2.18,3.51,2
Tanjung Balai,71.1,9.69,11.97,3.5,3,2.36,3.62,2
Tanjung Jabung Barat,69.93,8.32,9.54,3,2.6,1.09,3.74,0
Tanjung Jabung Timur,67.54,7.7,10.14,3.1,2.2,1,3.76,0
Tanjung Pinang,80.63,10.67,6.86,3.3,2.5,2.09,4.07,2
Tapanuli Selatan,72.14,9.56,6.92,3.6,2.2,1.82,3.99,0
Tapanuli Tengah,71.52,8.92,11.8,2.1,1.3,1,3.55,0
